"time","light"
2017-11-03 14:05:32,1
2017-11-03 14:06:32,0
2017-11-03 14:07:32,1
2017-11-03 14:08:32,0
2017-11-03 14:09:32,1
2017-11-03 14:10:32,0
2017-11-03 14:11:32,1
2017-11-03 14:12:32,0
2017-11-03 14:13:32,1
2017-11-03 14:14:32,0
2017-11-03 14:15:32,1
