"time","light"
2017-12-11 12:13:56,1
2017-12-11 12:14:26,0
2017-12-11 12:14:56,1
2017-12-11 12:15:26,0
2017-12-11 12:15:56,1
2017-12-11 12:16:26,0
2017-12-11 12:16:56,1
