"time","light"
2017-12-11 10:50:48,1
2017-12-11 10:51:18,0
2017-12-11 10:51:48,1
2017-12-11 10:52:18,0
2017-12-11 10:52:48,1
2017-12-11 10:53:18,0
2017-12-11 10:53:48,1
2017-12-11 10:54:18,0
2017-12-11 10:54:48,1
